Date/Time,Word Count,en,ja,ko
2025.05.30-22.37.05,307,0,0,307
2025.05.30-22.38.56,50,0,0,50
2025.05.30-22.46.56,50,50,0,50
2025.05.30-23.15.26,135,50,0,135
2025.05.30-23.17.22,135,135,0,135
2025.05.31-02.46.31,249,57,0,249
2025.05.31-02.50.34,249,249,0,249
2025.06.04-20.47.17,444,249,0,444
2025.06.04-21.07.30,444,254,0,444
2025.06.04-21.14.21,444,444,0,444
2025.06.06-11.46.15,484,444,0,484
2025.06.06-11.56.08,486,471,0,486
2025.06.08-04.28.10,726,461,0,726
2025.06.08-04.41.08,729,696,0,729
2025.06.08-22.20.50,729,729,0,729
2025.06.08-22.24.53,729,722,0,729
2025.06.08-22.25.14,729,729,0,729
2025.06.13-17.55.53,729,715,0,729
2025.06.13-17.56.25,729,729,0,729
2025.08.06-22.22.38,931,729,0,931
2025.08.07-00.10.58,931,931,0,931
2025.10.29-22.42.21,936,931,0,936
2025.10.29-22.44.29,936,936,0,936
2025.11.26-18.43.10,936,936,936,936
2025.11.26-23.37.33,937,936,936,937
2025.11.27-00.42.44,937,937,937,937
